"filename", "language", "JavaScript", "Markdown", "HTML", "PostCSS", "Batch", "JSON", "comment", "blank", "total"
"d:\Libraries\Desktop\harryswebsite\CLAUDE.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 31, 70
"d:\Libraries\Desktop\harryswebsite\admin-auth-core.js", "JavaScript", 62, 0, 0, 0, 0, 0, 46, 15, 123
"d:\Libraries\Desktop\harryswebsite\admin-auth.js", "JavaScript", 220, 0, 0, 0, 0, 0, 25, 25, 270
"d:\Libraries\Desktop\harryswebsite\adminhub\admin-nav.js", "JavaScript", 57, 0, 0, 0, 0, 0, 17, 20, 94
"d:\Libraries\Desktop\harryswebsite\adminhub\adminhub.html", "HTML", 0, 0, 48, 0, 0, 0, 0, 20, 68
"d:\Libraries\Desktop\harryswebsite\adminhub\adminhub.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Libraries\Desktop\harryswebsite\adminhub\auth.js", "JavaScript", 79, 0, 0, 0, 0, 0, 24, 13, 116
"d:\Libraries\Desktop\harryswebsite\adminhub\counter.html", "HTML", 0, 0, 64, 0, 0, 0, 0, 21, 85
"d:\Libraries\Desktop\harryswebsite\adminhub\counter.js", "JavaScript", 77, 0, 0, 0, 0, 0, 7, 19, 103
"d:\Libraries\Desktop\harryswebsite\adminhub\firebase\firebase-config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"d:\Libraries\Desktop\harryswebsite\adminhub\notes.html", "HTML", 0, 0, 58, 0, 0, 0, 0, 22, 80
"d:\Libraries\Desktop\harryswebsite\adminhub\notes.js", "JavaScript", 385, 0, 0, 0, 0, 0, 31, 89, 505
"d:\Libraries\Desktop\harryswebsite\adminhub\stream-counter-server\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1045, 0, 1, 1046
"d:\Libraries\Desktop\harryswebsite\adminhub\stream-counter-server\package.json", "JSON", 0, 0, 0, 0, 0, 15, 0, 1, 16
"d:\Libraries\Desktop\harryswebsite\adminhub\stream-counter-server\server.js", "JavaScript", 111, 0, 0, 0, 0, 0, 23, 20, 154
"d:\Libraries\Desktop\harryswebsite\adminhub\stream-counter-server\start-counter.bat", "Batch", 0, 0, 0, 0, 6, 0, 0, 3, 9
"d:\Libraries\Desktop\harryswebsite\adminhub\style.css", "PostCSS", 0, 0, 0, 615, 0, 0, 12, 98, 725
"d:\Libraries\Desktop\harryswebsite\collection-hub\cards-rampardos-backup.json", "JSON", 0, 0, 0, 0, 0, -4, 0, 1, -3
"d:\Libraries\Desktop\harryswebsite\collection-hub\cards-trainers-backup.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 35
"d:\Libraries\Desktop\harryswebsite\collection-hub\cards.html", "HTML", 0, 0, -176, 0, 0, 0, -12, -61, -249
"d:\Libraries\Desktop\harryswebsite\collection-hub\cards.js", "JavaScript", -594, 0, 0, 0, 0, 0, -56, -144, -794
"d:\Libraries\Desktop\harryswebsite\collection-hub\cards\cards.html", "HTML", 0, 0, 172, 0, 0, 0, 12, 60, 244
"d:\Libraries\Desktop\harryswebsite\collection-hub\cards\cards.js", "JavaScript", 763, 0, 0, 0, 0, 0, 116, 191, 1070
"d:\Libraries\Desktop\harryswebsite\collection-hub\cards\recent-set.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 2, 78
"d:\Libraries\Desktop\harryswebsite\collection-hub\collection-nav.js", "JavaScript", 7, 0, 0, 0, 0, 0, 21, 4, 32
"d:\Libraries\Desktop\harryswebsite\collection-hub\collectionhub.html", "HTML", 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\Libraries\Desktop\harryswebsite\collection-hub\collections.js", "JavaScript", 1111, 0, 0, 0, 0, 0, 333, 339, 1783
"d:\Libraries\Desktop\harryswebsite\collection-hub\completions-backup.json", "JSON", 0, 0, 0, 0, 0, 242, 0, 0, 242
"d:\Libraries\Desktop\harryswebsite\collection-hub\completions.html", "HTML", 0, 0, -145, 0, 0, 0, -12, -72, -229
"d:\Libraries\Desktop\harryswebsite\collection-hub\completions\completions.html", "HTML", 0, 0, 265, 0, 0, 0, 16, 125, 406
"d:\Libraries\Desktop\harryswebsite\collection-hub\completions\milestones.js", "JavaScript", 273, 0, 0, 0, 0, 0, 60, 79, 412
"d:\Libraries\Desktop\harryswebsite\collection-hub\download-missing-pokeballs.js", "JavaScript", 55, 0, 0, 0, 0, 0, 7, 16, 78
"d:\Libraries\Desktop\harryswebsite\collection-hub\download-missing-trainers.js", "JavaScript", 48, 0, 0, 0, 0, 0, 4, 15, 67
"d:\Libraries\Desktop\harryswebsite\collection-hub\download-type-icons.js", "JavaScript", 49, 0, 0, 0, 0, 0, 5, 15, 69
"d:\Libraries\Desktop\harryswebsite\collection-hub\evolutionFamilies.json", "JSON", 0, 0, 0, 0, 0, 3398, 0, 0, 3398
"d:\Libraries\Desktop\harryswebsite\collection-hub\export-to-github.js", "JavaScript", 65, 0, 0, 0, 0, 0, 30, 19, 114
"d:\Libraries\Desktop\harryswebsite\collection-hub\manifest.json", "JSON", 0, 0, 0, 0, 0, 18, 0, 1, 19
"d:\Libraries\Desktop\harryswebsite\collection-hub\milestones-backup.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\Libraries\Desktop\harryswebsite\collection-hub\mobile-popout.js", "JavaScript", 17, 0, 0, 0, 0, 0, 17, 4, 38
"d:\Libraries\Desktop\harryswebsite\collection-hub\pins-backup.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\Libraries\Desktop\harryswebsite\collection-hub\pins.html", "HTML", 0, 0, -112, 0, 0, 0, -12, -54, -178
"d:\Libraries\Desktop\harryswebsite\collection-hub\pins\pins.html", "HTML", 0, 0, 127, 0, 0, 0, 12, 56, 195
"d:\Libraries\Desktop\harryswebsite\collection-hub\pokedex-backup.json", "JSON", 0, 0, 0, 0, 0, 7595, 0, 0, 7595
"d:\Libraries\Desktop\harryswebsite\collection-hub\pokedexes.html", "HTML", 0, 0, -91, 0, 0, 0, 0, -44, -135
"d:\Libraries\Desktop\harryswebsite\collection-hub\pokedexes.js", "JavaScript", -879, 0, 0, 0, 0, 0, -97, -355, -1331
"d:\Libraries\Desktop\harryswebsite\collection-hub\pokedexes\pokedexes.html", "HTML", 0, 0, 289, 0, 0, 0, 38, 121, 448
"d:\Libraries\Desktop\harryswebsite\collection-hub\pokedexes\pokedexes.js", "JavaScript", 2754, 0, 0, 0, 0, 0, 673, 897, 4324
"d:\Libraries\Desktop\harryswebsite\collection-hub\popfigures-backup.json", "JSON", 0, 0, 0, 0, 0, 173, 0, 0, 173
"d:\Libraries\Desktop\harryswebsite\collection-hub\popfigures.html", "HTML", 0, 0, -123, 0, 0, 0, -12, -59, -194
"d:\Libraries\Desktop\harryswebsite\collection-hub\popfigures\popfigures.html", "HTML", 0, 0, 147, 0, 0, 0, 12, 62, 221
"d:\Libraries\Desktop\harryswebsite\collection-hub\shiny-hunts-backup.json", "JSON", 0, 0, 0, 0, 0, 350, 0, 0, 350
"d:\Libraries\Desktop\harryswebsite\collection-hub\sleeves-backup.json", "JSON", 0, 0, 0, 0, 0, 9, 0, 0, 9
"d:\Libraries\Desktop\harryswebsite\collection-hub\sleeves.html", "HTML", 0, 0, -112, 0, 0, 0, -12, -54, -178
