"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "PostCSS", "Batch", "Python", "comment", "blank", "total"
"d:\Libraries\Desktop\harryswebsite\.claude\settings.local.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Libraries\Desktop\harryswebsite\CLAUDE.md", "Markdown", 0, 0, 39, 0, 0, 0, 0, 0, 31, 70
"d:\Libraries\Desktop\harryswebsite\admin-auth-core.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 46, 15, 123
"d:\Libraries\Desktop\harryswebsite\admin-auth.js", "JavaScript", 220, 0, 0, 0, 0, 0, 0, 25, 25, 270
"d:\Libraries\Desktop\harryswebsite\adminhub\admin-nav.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 17, 20, 94
"d:\Libraries\Desktop\harryswebsite\adminhub\adminhub.html", "HTML", 0, 0, 0, 48, 0, 0, 0, 0, 20, 68
"d:\Libraries\Desktop\harryswebsite\adminhub\adminhub.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Libraries\Desktop\harryswebsite\adminhub\auth.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 24, 13, 116
"d:\Libraries\Desktop\harryswebsite\adminhub\counter.html", "HTML", 0, 0, 0, 64, 0, 0, 0, 0, 21, 85
"d:\Libraries\Desktop\harryswebsite\adminhub\counter.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 7, 19, 103
"d:\Libraries\Desktop\harryswebsite\adminhub\firebase\firebase-config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"d:\Libraries\Desktop\harryswebsite\adminhub\notes.html", "HTML", 0, 0, 0, 58, 0, 0, 0, 0, 22, 80
"d:\Libraries\Desktop\harryswebsite\adminhub\notes.js", "JavaScript", 385, 0, 0, 0, 0, 0, 0, 31, 89, 505
"d:\Libraries\Desktop\harryswebsite\adminhub\stream-counter-server\package-lock.json", "JSON", 0, 1045, 0, 0, 0, 0, 0, 0, 1, 1046
"d:\Libraries\Desktop\harryswebsite\adminhub\stream-counter-server\package.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"d:\Libraries\Desktop\harryswebsite\adminhub\stream-counter-server\server.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 23, 20, 154
"d:\Libraries\Desktop\harryswebsite\adminhub\stream-counter-server\start-counter.bat", "Batch", 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"d:\Libraries\Desktop\harryswebsite\adminhub\style.css", "PostCSS", 0, 0, 0, 0, 615, 0, 0, 12, 98, 725
"d:\Libraries\Desktop\harryswebsite\collection-hub\addBDSP.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 13, 10, 49
"d:\Libraries\Desktop\harryswebsite\collection-hub\adding valid games\API.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 23, 16, 94
"d:\Libraries\Desktop\harryswebsite\collection-hub\adding valid games\missingPokemonReport.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Libraries\Desktop\harryswebsite\collection-hub\adding valid games\pla.json", "JSON", 0, 244, 0, 0, 0, 0, 0, 0, 0, 244
